tem #,Qty,Description,Part # if applicable,Online Supplier,Link,Unit Price,Total Price,Total w/ Tax,Price Date
1,1,Raspberry Pi 2B,,MCM Electronics,http://www.mcmelectronics.com/product/83-16530,$35.00 ,$35.00 ,$38.15 ,12/18/2015
2,1,8 GB SD Card,,amazon,http://www.amazon.com/gp/product/B00M55C0VU,$9.00 ,$9.00 ,$9.81 ,
2,2,Continuous Rotation Servos,,Parallax,https://www.parallax.com/product/900-00008,$12.99 ,$25.98 ,$28.32 ,
3,1,Microsoft HD-3000 Webcam,,amazon,http://www.amazon.com/Microsoft-T3H-00011-LifeCam-HD-3000/dp/B008ZVRAQS,$24.95 ,$24.95 ,$27.20 ,
4,1,TurtleBot PCB,,DirtyBoards,,$3.00 ,$3.00 ,$3.00 ,
5,2,"8"" Zip Ties",,amazon,http://www.amazon.com/Leegoal-Nylon-Cable-Of100PCs-Black/dp/B005OK7P3G/,$0.02 ,$0.04 ,$0.04 ,
6,1,AA Right Handed Dual Contact,5213K-ND,Digikiey,http://www.digikey.com/product-search/en/battery-products/battery-holders-clips-contacts/393250?k=5213K-ND,$0.39 ,$0.39 ,$0.43 ,
7,2,AA Left Handed Dual Contact,5214K-ND,Digikiey,http://www.digikey.com/product-search/en?KeyWords=5214K-ND,$0.39 ,$0.78 ,$0.85 ,
8,1,AA Positive Terminal,5223K-ND,Digikiey,http://www.digikey.com/product-search/en/battery-products/battery-holders-clips-contacts/393250?k=5223K-ND,$0.11 ,$0.11 ,$0.12 ,
9,1,AA Negative Terminal,5201K-ND,Digikiey,http://www.digikey.com/product-search/en?KeyWords=5201K-ND&WT.z_header=search_go,$0.28 ,$0.28 ,$0.31 ,
11,2,Servo Header Connector,952-2245-ND,Digikiey,http://www.digikey.com/product-search/en?KeyWords=952-2245-ND&WT.z_header=search_go,$0.17 ,$0.34 ,$0.37 ,
12,1,Header,S9200-ND,Digikiey,http://www.digikey.com/product-search/en?KeyWords=952-2245-ND&WT.z_header=search_go,$2.31 ,$2.31 ,$2.52 ,
13,1,Blue LED,C503B-BCS-CV0Z0461-ND,Digikiey,http://www.digikey.com/product-search/en?KeyWords=952-2245-ND&WT.z_header=search_go,$0.21 ,$0.21 ,$0.23 ,
14,1,LED Resistor,140XBK-ND,Digikiey,https://www.digikey.com/product-detail/en/MFR-25FBF52-140R/140XBK-ND/12825,$0.08 ,$0.08 ,$0.09 ,
15,2,Terminal Blocks,ED1643-ND,Digikiey,http://www.digikey.com/product-search/en?KeyWords=ED1643-ND&WT.z_header=search_go,$0.93 ,$1.86 ,$2.03 ,
16,1,"3.3VDC Linear Regulator, 3A",576-2228-ND,Digikiey,https://www.digikey.com/product-detail/en/MIC29310-3.3WT/576-2228-ND/1029132,$2.48 ,$2.48 ,$2.70 ,
17,1,4.7 uF Capacitor,399-6609-ND,Digikiey,http://www.digikey.com/product-detail/en/ESK475M100AC3AA/399-6609-ND/3083024,$0.12 ,$0.12 ,$0.13 ,
18,1,Rocker Switch,CWI475-ND,Digikiey,http://www.digikey.com/product-detail/en/RA41G31100/RA41G31100-ND/3778071,$0.65 ,$0.65 ,$0.71 ,
19,1,Plastic Set,,,,$25.00 ,$25.00 ,$25.00 ,
20,1,Edimax Wifi Card,,amazon,http://www.amazon.com/Edimax-EW-7811Un-150Mbps-Raspberry-Supports/dp/B003MTTJOY/,$9.99 ,$9.99 ,$10.89 ,
21,1,Red/Black Wire + Soldering supplies,,,,$0.10 ,$0.10 ,$0.11 ,
22,5,Screws,,,,$0.05 ,$0.25 ,$0.27 ,
23,4,AA Batteries,,amazon,http://www.amazon.com/Duracell-Alkaline-Duralock-Batteries-Clamshell/dp/B008ORUYU2,$0.52 ,$2.10 ,$2.29 ,
,,,,,,,,,
Totals,,,,,,n/a,$142.72 ,$155.57 ,
,,,,,,,,,
Tax Rate,9%,,,,,,,,
